trabalhoCompletoEmCongresso	Cícero Lopes Frota	2002		On vertical Vibrations of strings	55º Seminário Brasileiro de Análise	FROTA, C. L.; MEDEIROS, Luis Adauto ; RABELLO, Tânia N ; VIEIRA, Maria Cristina C		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	2002		On a mixed problem for a linear coupled system with nonlinear boundary conditions	55º Seminário Brasileiro de Análise	FROTA, C. L.; FEITOSA, A. J. R. ; JUTUCA, L. P. S. G. ; MATHIAS, F. O.		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	2002		Anisotropic Carrier and Kirchhoff Equations	55º Seminário Brasileiro de Análise	FROTA, C. L.; COUSIN, Alfredo Tadeu ; LAR'KIN, Nickolai A		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	2001		On Global Solvability to the mixed problem for the Carrier Equation with a perturbation	53 Seminário Brasileiro de Análise	FROTA, C. L.; FEITOSA, A. J. R. ; G, L. P. S. ; MATHIAS, F. O.		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	1997		Regular solutions and stability for the nonlinear thermoviscoelastic system with nonlinear damping on the boundary	Eight International colloquium on differential equation	FROTA, C. L.; COUSIN, Alfredo Tadeu ; LAR'KIN, Nickolai A		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	1997		On local and global solvability of nonlinear mixed problems modelling vibrations of a string	Seventh International Colloquium on Differential Equations	FROTA, C. L.; LAR'KIN, Nickolai A		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	1995		A unilateral problem for the degenerated Kirchhoff equation	Sixth International Colloquium on Differential Equations	FROTA, C. L.; LAR'KIN, Nickolai A		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	1995		A unilateral problem for the degenerated Kirchhoff equation	41° Seminário Brasileiro de Análise	FROTA, C. L.; LAR'KIN, Nickolai A		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	1993		Non local solutions of a nonlinear hyperbolic partial differential equation	38° Seminário Brasileiro de Análise	FROTA, C. L		
trabalhoCompletoEmCongresso	Cícero Lopes Frota	1992		Sobre um problema unilateral global de um modelo da elasticidade unidimensional	35° Seminário Brasileiro de Análise	FROTA, C. L		
